opponent,seed,seat,margin,primary_reason,secondary_reason,evidence,status
kaggriculture-pure-architecture-2600-elo-v3,11,1,1465.0,销售周转不足,有效产出没有及时变现,animals=12 vs 13; crops=0 vs 7; weeds=15 vs 19; buy_qty=403 vs 1112; sell_qty=1060 vs 3527,"[""DONE"", ""DONE""]"
kaggriculture-pure-architecture-2600-elo-v3,47,0,1477.0,销售周转不足,有效产出没有及时变现,animals=12 vs 13; crops=1 vs 7; weeds=12 vs 20; buy_qty=425 vs 1112; sell_qty=1002 vs 3527,"[""DONE"", ""DONE""]"
kaggriculture-pure-architecture-2600-elo-v3,47,1,4926.0,销售周转不足,有效产出没有及时变现,crops=0 vs 7; weeds=14 vs 19; buy_qty=437 vs 1112; sell_qty=1119 vs 3527,"[""DONE"", ""DONE""]"
kaggriculture-pure-architecture-2600-elo-v3,101,0,7524.0,销售周转不足,有效产出没有及时变现,crops=0 vs 7; weeds=15 vs 20; buy_qty=439 vs 1112; sell_qty=1053 vs 3527,"[""DONE"", ""DONE""]"
kaggriculture-pure-architecture-2600-elo-v3,101,1,3960.0,销售周转不足,有效产出没有及时变现,crops=0 vs 7; weeds=16 vs 20; buy_qty=439 vs 1112; sell_qty=1033 vs 3527,"[""DONE"", ""DONE""]"
kaggriculture-rank-your-agent,11,0,6906.0,雇工规模不足,路线吞吐不足,"land second_land_day=day_7_vs_6, third_land_day=day_11_vs_10; animals=15 vs 12; crops=2 vs 1; max_hands=12 vs 14; weeds=4 vs 5; sell_qty=1090 vs 1979","[""DONE"", ""DONE""]"
kaggriculture-rank-your-agent,11,1,1083.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; max_hands=12 vs 14; weeds=2 vs 5; sell_qty=1118 vs 1979,"[""DONE"", ""DONE""]"
kaggriculture-rank-your-agent,47,0,-19087.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=2 vs 1; max_hands=12 vs 14; weeds=13 vs 6; sell_qty=1042 vs 1971,"[""DONE"", ""DONE""]"
kaggriculture-rank-your-agent,47,1,-31383.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=23 vs 5; sell_qty=1060 vs 1981,"[""DONE"", ""DONE""]"
kaggriculture-rank-your-agent,101,0,-28362.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=12 vs 6; sell_qty=1086 vs 1981,"[""DONE"", ""DONE""]"
kaggriculture-rank-your-agent,101,1,-30166.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=13 vs 6; sell_qty=1080 vs 1981,"[""DONE"", ""DONE""]"
strong-barnyard-economist,11,0,2968.0,雇工规模不足,路线吞吐不足,animals=15 vs 14; crops=2 vs 4; max_hands=12 vs 14; weeds=2 vs 19; sell_qty=1087 vs 1343,"[""DONE"", ""DONE""]"
strong-barnyard-economist,11,1,11070.0,雇工规模不足,路线吞吐不足,animals=15 vs 14; crops=2 vs 4; max_hands=12 vs 14; weeds=14 vs 19; sell_qty=1092 vs 1343,"[""DONE"", ""DONE""]"
strong-barnyard-economist,47,0,-10133.0,雇工规模不足,路线吞吐不足,animals=15 vs 14; crops=1 vs 4; max_hands=12 vs 14; weeds=11 vs 19; sell_qty=1049 vs 1343,"[""DONE"", ""DONE""]"
strong-barnyard-economist,47,1,-10133.0,雇工规模不足,路线吞吐不足,animals=15 vs 14; crops=1 vs 4; max_hands=12 vs 14; weeds=12 vs 19; sell_qty=1049 vs 1343,"[""DONE"", ""DONE""]"
strong-barnyard-economist,101,0,1064.0,杂草占用有效土地,清理路线吞吐不足,animals=15 vs 14; crops=0 vs 4; max_hands=12 vs 14; weeds=29 vs 19; sell_qty=1100 vs 1343,"[""DONE"", ""DONE""]"
strong-barnyard-economist,101,1,144.0,雇工规模不足,路线吞吐不足,animals=15 vs 14; crops=0 vs 4; max_hands=12 vs 14; weeds=16 vs 20; sell_qty=1093 vs 1343,"[""DONE"", ""DONE""]"
v111-8c4s-economic-core-premium-lead,11,0,6229.0,雇工规模不足,路线吞吐不足,"land second_land_day=day_7_vs_6, third_land_day=day_11_vs_10; animals=15 vs 12; crops=2 vs 1; max_hands=12 vs 14; weeds=4 vs 5; sell_qty=1094 vs 1679","[""DONE"", ""DONE""]"
v111-8c4s-economic-core-premium-lead,11,1,1117.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; max_hands=12 vs 14; weeds=2 vs 5; sell_qty=1114 vs 1679,"[""DONE"", ""DONE""]"
v111-8c4s-economic-core-premium-lead,47,0,-20101.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=2 vs 1; max_hands=12 vs 14; weeds=6 vs 5; sell_qty=1017 vs 1679,"[""DONE"", ""DONE""]"
v111-8c4s-economic-core-premium-lead,47,1,-32115.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; crops=0 vs 1; max_hands=12 vs 14; weeds=24 vs 5; sell_qty=1047 vs 1679,"[""DONE"", ""DONE""]"
v111-8c4s-economic-core-premium-lead,101,0,-25178.0,雇工规模不足,路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; max_hands=12 vs 14; weeds=15 vs 6; sell_qty=1082 vs 1679,"[""DONE"", ""DONE""]"
v111-8c4s-economic-core-premium-lead,101,1,-25041.0,杂草占用有效土地,清理路线吞吐不足,land second_land_day=day_7_vs_6; animals=15 vs 12; max_hands=12 vs 14; weeds=21 vs 6; sell_qty=1089 vs 1679,"[""DONE"", ""DONE""]"
